"P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25","P_26","P_27"
1095.18636074345,1010.22550251978,979.165728926661,975.928874645283,960.818653698357,1086.39808418162,1198.4754459719,1388.0956111753,1222.51454388923,1434.18350469353,1838.05512704867,3784.48551986752,3167.03665678987,3800.73837714557,2294.20707488586,3599.93765429904,5811.1030566484,6157.69505757026,7813.27240257636,8323.98781224542,8598.71775553204,8275.38580693476,8333.14645256996,7802.31940476105,7549.35076879039,7130.8871099962,6461.04029298462
1091.90281690671,1009.98201558172,977.472402747591,975.453891166524,951.504955603135,1113.09910763888,1194.03245928877,1434.99151244051,1274.92871876298,1573.77043255492,1972.47136951661,4354.09287624621,3395.18926167019,4117.10252114297,2812.95546067227,3260.41863990349,6240.81108716756,6259.74287655144,7810.99596095098,8283.46663891606,8519.4194022637,8258.00495780622,8247.11598009601,7877.13664085983,7538.42672480813,7361.24508421577,6561.71078614611
1088.58793400245,1009.7078968872,975.780711364336,974.947932329017,940.217006863091,1154.80955555704,1196.51704579363,1520.75674431835,1354.83577093569,1757.94375109572,2166.83151495006,4913.94084294017,3626.30301748502,4416.69442356981,3335.98275924795,2923.83696721637,6653.71921125045,6357.19694411862,7807.15382575827,8239.85218052057,8439.9420554081,8240.9045088724,8163.96501551555,7951.91371419493,7528.61375812271,7626.23860174136,6677.46731872034
1085.25288636423,1009.39566429342,974.114149816772,974.380794173246,927.777848835263,1226.94126623303,1219.58671607964,1694.88583291918,1503.946404813,2047.91968791594,2467.42930930784,5450.9604230532,3892.69312217554,4690.92007911796,3872.97474436586,2594.12527163479,7020.93083553978,6445.66311666418,7799.66583834759,8191.90911010188,8360.1711056836,8223.28109476859,8079.01435259594,8024.81816956699,7521.52968749588,7896.22403523858,6813.45133932674
1081.91084292188,1009.02057230441,972.512451102864,973.7308215125,918.543894913235,1322.21028317194,1247.26601466314,1963.86082334028,1750.90150006977,2455.80440094161,2851.78448178911,5976.02750267721,4207.13895320971,5000.72549349279,4425.08630328503,2277.75526331194,7338.48685349301,6521.61229646614,7785.0213963153,8138.88445147368,8280.07112775993,8204.75567068321,7998.43356761623,8095.84869501867,7519.19373884999,8140.85841219243,6982.38308757231
1078.61981659516,1008.48604064615,970.991182709116,973.012547250164,917.816780396867,1404.77113539124,1271.53201929211,2169.29321702102,2066.52637022578,2911.99682482532,3217.07661093567,6422.38612742556,4510.84758218796,5303.10519824008,4945.99098554654,1982.07818936018,7590.72813791619,6580.92404274968,7760.36393954425,8083.30359940716,8199.72369522988,8185.32415792364,7911.82296872122,8158.51153872839,7521.34038986846,8340.11424901248,7163.62120246614
1075.44077131662,1007.69011762309,969.542282875115,972.195683312914,924.955702721798,1448.95814448521,1284.97704892879,2259.0849125879,2362.42744189285,3258.98659745595,3478.30241349785,6731.45342414849,4747.12525936512,5559.47136636872,5392.03858721825,1711.45267462682,7751.43208189391,6622.71518847384,7723.39743715528,8032.5809607442,8119.47301319886,8165.34899969158,7819.55440121584,8209.01361561696,7528.09787847947,8476.25072742582,7350.80795689386
1072.42249520427,1006.54243517945,968.169283961062,971.139745975485,943.838319360654,1450.64867453699,1296.32607087199,2205.00038358257,2555.70139270675,3367.85252491846,3605.42749897144,6878.71123009882,4874.83767757505,5709.8919943174,5721.7233882712,1469.91927051333,7800.37378227879,6645.63093429645,7671.84940390024,7988.25049768544,8038.01665828613,8144.60055965975,7737.41299565011,8245.65342459377,7539.88736079703,8538.6436046634,7523.97450798856
1069.56654003111,1004.96384599338,966.839584979513,969.759064066822,964.472133652251,1424.49949667172,1310.05443509706,2124.58082162113,2597.00051017376,3220.4569308478,3562.27834887716,6868.92357246172,4918.23332461205,5716.68658946056,5904.12434618268,1259.32356829311,7723.69661090198,6647.19273298093,7603.1833824627,7940.17040602431,7954.82137192388,8123.38987977403,7693.09786832537,8268.05641833391,7556.02118953383,8523.11054174737,7670.03460546864
1066.93459989421,1002.96315211221,965.561431611689,968.005907533143,971.304041875482,1379.07074304426,1324.84478304043,2073.06791773824,2505.20720239874,2901.91192336491,3367.52583770795,6719.32984952107,4900.59484064114,5621.85703289755,5911.41489100788,1079.90169947175,7519.90037885609,6625.97714255124,7515.53404716702,7882.78609020042,7870.00081420926,8101.16117081906,7678.40972281547,8276.09764858087,7574.97938941616,8428.72332404854,7783.52675561992
